,city,icao,lat,lon,name,state,LL,JA
0,Broadus,K00F,45.47249985,-105.4540024,Broadus Airport,Montana,4.50,3.77
1,Belmont,K01M,34.4916992188,-88.2011032104,Tishomingo County Airport,Mississippi,4.25,3.00
2,Clanton,K02A,32.8504981995,-86.6113967896,Gragg-Wade Field,Alabama,4.45,3.45
3,Eureka,K05U,39.6041984558,-116.0049972534,Eureka Airport,Nevada,5.11,4.31
4,Chicago/Schaumburg,K06C,41.9892997742,-88.1011962891,Schaumburg Regional Airport,Illinois,5.47,5.69
5,Stanley,K08D,48.3008003235,-102.40599823,Stanley Municipal Airport,North-Dakota,3.45,3.00
6,Smithville,K0A3,35.9852981567,-85.8093032837,Smithville Municipal Airport,Tennessee,3.55,N/A
7,Elizabethton,K0A9,36.3712005615,-82.1733016968,Elizabethton Municipal Airport,Tennessee,4.49,3.79
8,Gettysburg,K0D8,44.98669815,-99.95279694,Gettysburg Municipal Airport,South-Dakota,4.10,3.75
9,Bowie,K0F2,33.6016998291,-97.7755966187,Bowie Municipal Airport,Texas,3.65,3.02
10,Bryan,K0G6,41.4673995972,-84.5065994263,Williams County Airport,Ohio,4.50,3.15
11,Seneca Falls,K0G7,42.8835983276,-76.7810974121,Finger Lakes Regional Airport,New-York,4.39,4.50
12,Florala,K0J4,31.0424995422,-86.3115997314,Florala Municipal Airport,Alabama,5.85,5.35
13,Headland,K0J6,31.36429977,-85.3117981,Headland Municipal Airport,Alabama,4.35,2.75
14,Jean,K0L7,35.7682991028,-115.3300018311,Jean Airport,Nevada,3.75,3.54
15,Dumas,K0M0,33.8847999573,-91.5345001221,Billy Free Municipal Airport,Arkansas,3.45,3.60
16,Camden,K0M4,36.011100769,-88.123298645,Benton County Airport,Tennessee,3.13,3.60
17,Waverly,K0M5,36.1166000366,-87.7381973267,Humphreys County Airport,Tennessee,N/A,2.87
18,Columbia,K0R0,31.297000885,-89.8127975464,Columbia-Marion County Airport,Mississippi,3.50,3.25
19,Millersburg,K10G,40.5372009277,-81.9543991089,Holmes County Airport,Ohio,5.40,4.20
20,Brenham,K11R,30.21899986,-96.3742981,Brenham Municipal Airport,Texas,2.49,2.59
21,Brewton,K12J,31.0506000519,-87.0655975342,Brewton Municipal Airport,Alabama,4.78,3.90
22,Adel,K15J,31.1378002167,-83.4533004761,Cook County Airport,Georgia,4.00,4.00
23,Tiffin,K16G,41.0941009521,-83.2125015259,Seneca County Airport,Ohio,3.84,3.17
24,Canon,K18A,34.34009933,-83.13349915,Franklin County Airport,Georgia,3.99,3.49
25,Berlin,K19N,39.77840042,-74.94779968,Camden County Airport,New-Jersey,5.50,6.00
26,Middlesboro,K1A6,36.6105995178,-83.7373962402,Middlesboro-Bell County Airport,Kentucky,4.50,3.75
27,Prattville,K1A9,32.4387016296,-86.5127029419,Prattville - Grouby Field,Alabama,3.20,2.74
28,Dexter,K1B0,45.0041007996,-69.2369995117,Dexter Regional Airport,Maine,4.25,3.85
29,Paxton,K1C1,40.4490013123,-88.1277008057,Paxton Airport,Illinois,3.75,3.16
30,Bolingbrook,K1C5,41.6959991455,-88.1292037964,Bolingbrook's Clow International Airport,Illinois,3.81,3.65
31,Ardmore,K1F0,34.1469722,-97.1226667,Ardmore Downtown Executive Airport,Oklahoma,2.80,2.30
32,Bowling Green,K1G0,41.3909988403,-83.6300964355,Wood County Airport,Ohio,4.50,3.28
33,Medina,K1G5,41.131401062,-81.7649002075,Medina Municipal Airport,Ohio,4.95,N/A
34,Effingham,K1H2,39.070400238,-88.5335006714,Effingham County Memorial Airport,Illinois,4.92,3.83
35,Bonifay,K1J0,30.8458003998,-85.6014022827,Tri-County Airport,Florida,3.74,3.60
36,Benton,K1K1,37.7744444,-97.1132222,Lloyd Stearman Field Airport,Kansas,3.60,3.99
37,Parowan,K1L9,37.8596992493,-112.8160018921,Parowan Airport,Utah,5.62,N/A
38,Haleyville,K1M4,34.2803001404,-87.600402832,Posey Field,Alabama,4.63,4.81
39,Portland,K1M5,36.5928001404,-86.4766998291,Portland Municipal Airport,Tennessee,3.80,3.70
40,Lodi,K1O3,38.20240021,-121.2679977,Lodi Airport,California,4.49,4.49
41,Bay Minette,K1R8,30.8703994751,-87.8192977905,Bay Minette Municipal Airport,Alabama,N/A,3.85
42,Canon City,K1V6,38.4280014038,-105.1060028076,Fremont County Airport,Colorado,3.95,3.45
