,0,1,2
0J0,1000,1000,200
2A8,1000,1000,200
KEET,3.80,4.15,200
8A0,4.45,4.10,200
KALX,3.60,4.10,200
KAIV,1000,1000,200
79J,2.99,2.29,200
KANB,3.79,3.24,200
1M3,1000,1000,200
26A,1000,1000,200
0R1,1000,1000,200
KAUO,3.50,3.30,200
1R8,1000,3.85,200
5R7,1000,1000,200
KEKY,4.48,4.59,200
KBHM,4.83,5.40,200
12J,4.78,3.90,200
09A,1000,1000,200
61A,1000,1000,200
KPYP,1000,1000,200
0A8,1000,1000,200
5R1,1000,1000,200
02A,4.45,3.45,200
11A,1000,1000,200
9A4,1000,1000,200
15A,1000,1000,200
KCMD,3.50,2.99,200
4R9,1000,1000,200
KDCU,4.50,4.30,200
KDYA,4.20,3.80,200
KDHN,4.61,4.31,200
3M2,1000,1000,200
14J,1000,1000,200
KEDN,3.27,2.35,200
KEUF,4.00,4.30,200
KGZH,3.25,2.99,200
KCQF,3.85,3.50,200
M95,3.16,1000,200
0J4,5.85,5.35,200
5R4,1000,1000,200
4A9,4.00,3.70,200
KGAD,3.90,4.00,200
33J,1000,1000,200
7A0,1000,1000,200
KPRN,1000,1000,200
KJKA,4.20,4.04,200
8A1,1000,1000,200
1M4,4.63,4.81,200
KHAB,3.10,1000,200
5M0,1000,1000,200
M38,1000,1000,200
0J6,4.35,2.75,200
KHSV,4.50,4.13,200
KMDQ,4.58,4.13,200
3M5,1000,1000,200
4R3,1000,1000,200
KJFX,3.99,4.29,200
7A3,1000,1000,200
04A,1000,1000,200
A08,4.23,3.50,200
KMOB,6.18,5.41,200
KBFM,5.35,5.77,200
KMVC,1000,3.62,200
KMGM,5.15,4.90,200
KMSL,3.75,3.95,200
20A,1000,1000,200
71J,3.26,3.25,200
KPLR,3.60,3.60,200
1A9,3.20,2.74,200
3M8,1000,1000,200
7A5,1000,1000,200
M22,1000,1000,200
1A4,1000,1000,200
4A6,3.90,3.45,200
KSEM,3.20,2.74,200
2R5,1000,1000,200
7A6,1000,1000,200
KSCD,3.97,1000,200
PADK,1000,1000,200
PAKH,1000,1000,200
Z13,1000,1000,200
PFAK,1000,1000,200
PAUT,1000,1000,200
PAUK,1000,1000,200
5A8,1000,1000,200
Z25,1000,1000,200
PFAL,1000,1000,200
PAFM,1000,1000,200
80A,1000,1000,200
PAKP,1000,1000,200
PANC,5.37,2.80,200
PAMR,5.45,3.81,200
PALH,5.37,2.80,200
